PolicyNumber,PolicyType,Sex,Age,MaritalStatus,DriverRating,PastClaims,Deductible,AddressChange,VehicleCategory,Make,VehicleAge,VehiclePrice,AgentType,RepNumber,Year,Month,Week,Day,CarsInvolved,CollisionArea,Fault,InforceAccident,WitnessPresent,PoliceReport,MonthClaimed,WeekClaimed,DayClaimed,InforceClaim,Claim,Fraud
1,Liability,Female,21,Single,1,0,300,1,Sport,Honda,3,>69000,External,12,2021,Dec,5,Wednesday,3 to 4,Urban,Policyholder,>30,No,No,Jan,1,Tuesday,>30,55526.06942,0
2,Collision,Male,34,Single,4,0,400,0,Sport,Honda,6,>69000,External,15,2021,Jan,3,Wednesday,1,Urban,Policyholder,>30,No,Yes,Jan,4,Monday,>30,59294.45557,0
3,Collision,Male,47,Married,3,1,400,0,Sport,Honda,7,>69000,External,7,2021,Oct,5,Friday,1,Urban,Policyholder,>30,No,No,Nov,2,Thursday,>30,71756.94132,0
4,Liability,Male,65,Married,2,1,400,0,Sport,Toyota,>7,20000 to 29000,External,4,2021,Jun,2,Saturday,1,Rural,Third Party,>30,No,Yes,Jul,1,Friday,>30,7584.153493,0
7,Collision,Male,36,Married,1,1,400,0,Sport,Honda,7,>69000,External,14,2021,Feb,1,Saturday,1,Urban,Third Party,>30,No,No,Feb,3,Monday,>30,98545.37434,0
9,Collision,Male,30,Single,4,0,400,0,Sport,Honda,6,>69000,External,7,2021,Dec,4,Saturday,1,Urban,Policyholder,>30,Yes,No,Dec,5,Wednesday,>30,57166.76095,0
11,All Perils,Male,71,Single,3,0,400,0,Sedan,Mazda,>7,>69000,External,7,2021,Mar,2,Sunday,1,Urban,Policyholder,>30,No,No,Mar,3,Wednesday,>30,62624.22872,0
12,Liability,Male,52,Married,1,2 to 4,400,0,Sport,Honda,>7,20000 to 29000,External,13,2021,Mar,5,Monday,1,Urban,Policyholder,>30,No,No,Mar,5,Monday,>30,103420.7853,0
13,Liability,Male,28,Married,1,1,400,0,Sport,Ford,7,>69000,External,11,2021,Jan,3,Friday,1,Urban,Policyholder,>30,No,No,Jan,3,Friday,>30,59747.54944,0
14,Collision,Male,16,Single,3,0,400,0,Sedan,Honda,0,>69000,External,12,2021,Jan,5,Friday,1,Rural,Third Party,>30,No,No,Feb,1,Wednesday,>30,82211.85926,0
15,Liability,Male,61,Married,1,0,400,0,Sport,Ford,>7,>69000,External,3,2021,Jan,5,Monday,1,Urban,Policyholder,>30,No,No,Feb,1,Thursday,>30,59551.89205,0
16,Liability,Male,38,Single,1,0,400,0,Sport,Ford,6,>69000,External,16,2021,Aug,4,Tuesday,1,Urban,Policyholder,>30,No,No,Aug,5,Monday,>30,54340.81203,0
17,All Perils,Male,41,Married,4,0,400,0,Sedan,Ford,7,>69000,External,15,2021,Apr,4,Thursday,1,Urban,Policyholder,>30,No,No,May,1,Wednesday,>30,52273.79195,0
18,Collision,Female,28,Married,1,0,400,0,Sedan,Chevrolet,7,20000 to 29000,External,6,2021,Jul,5,Sunday,1,Urban,Third Party,>30,No,No,Aug,1,Wednesday,>30,6659.006667,0
21,Liability,Male,40,Married,1,1,400,0,Sport,Mazda,>7,20000 to 29000,External,3,2021,Apr,2,Friday,1,Urban,Policyholder,>30,No,No,May,1,Tuesday,>30,8219.96932,0
22,Collision,Male,47,Married,2,1,400,4 to 8,Sedan,Chevrolet,>7,20000 to 29000,External,13,2021,Jan,2,Saturday,2,Urban,Policyholder,>30,No,No,Jan,2,Monday,>30,1298.643912,0
26,Liability,Male,60,Married,4,>4,400,0,Sport,Hyundai,>7,20000 to 29000,External,16,2021,Mar,3,Monday,1,Urban,Policyholder,>30,No,No,Apr,1,Tuesday,>30,22262.93367,0
27,Collision,Male,21,Married,2,>4,400,0,Sedan,Honda,5,30000 to 39000,External,1,2021,Mar,3,Thursday,1,Urban,Policyholder,>30,No,No,Jun,4,Thursday,>30,84964.75358,0
29,All Perils,Male,18,Single,1,0,400,0,Sedan,Honda,0,>69000,External,9,2021,Jul,1,Saturday,1,Urban,Policyholder,>30,No,No,Sep,4,Tuesday,>30,64194.69635,1
30,Collision,Female,39,Married,3,0,400,0,Sedan,Mazda,7,20000 to 29000,External,12,2021,May,3,Monday,1,Urban,Policyholder,>30,No,No,May,4,Wednesday,>30,6856.396799,0
31,Collision,Male,47,Married,1,2 to 4,400,0,Sedan,Dodge,>7,30000 to 39000,Internal,2,2021,Mar,2,Friday,1,Urban,Policyholder,>30,No,No,Mar,2,Saturday,>30,54233.78982,0
33,Collision,Male,42,Single,3,>4,400,0,Sedan,Chevrolet,7,20000 to 29000,External,2,2021,Mar,2,Wednesday,1,Urban,Policyholder,>30,No,No,Mar,2,Wednesday,>30,23868.78947,0
37,Collision,Male,30,Married,4,0,400,0,Sedan,Honda,6,20000 to 29000,External,11,2021,Oct,2,Tuesday,1,Urban,Third Party,>30,No,No,Oct,3,Thursday,>30,5227.579163,0
38,Collision,Male,27,Single,2,0,400,0,Sedan,Mazda,7,30000 to 39000,External,4,2021,Sep,2,Friday,1,Urban,Policyholder,>30,No,No,Sep,3,Friday,>30,3124.079948,0
41,Collision,Female,35,Married,1,2 to 4,400,0,Sedan,Chevrolet,6,20000 to 29000,External,11,2021,Mar,4,Wednesday,1,Urban,Policyholder,>30,No,No,Apr,1,Wednesday,>30,2714.290049,0
42,All Perils,Male,44,Married,1,2 to 4,400,0,Sedan,Hyundai,7,20000 to 29000,External,15,2021,Mar,3,Friday,3 to 4,Urban,Policyholder,>30,No,No,Mar,4,Wednesday,>30,1584.088677,0
