PolicyNumber,PolicyType,Sex,Age,MaritalStatus,DriverRating,PastClaims,Deductible,AddressChange,VehicleCategory,Make,VehicleAge,VehiclePrice,AgentType,RepNumber,Year,Month,Week,Day,CarsInvolved,CollisionArea,Fault,InforceAccident,WitnessPresent,PoliceReport,MonthClaimed,WeekClaimed,DayClaimed,InforceClaim,Claim,Fraud
29,All Perils,Male,18,Single,1,0,400,0,Sedan,Honda,0,>69000,External,9,2021,Jul,1,Saturday,1,Urban,Policyholder,>30,No,No,Sep,4,Tuesday,>30,64194.69635,1
53,Collision,Male,21,Married,4,0,400,0,Sport,Honda,4,>69000,External,4,2021,Jul,3,Sunday,1,Rural,Policyholder,>30,No,No,Jan,4,Wednesday,>30,61043.34801,1
97,Collision,Male,38,Married,2,1,400,0,Sedan,Toyota,7,20000 to 29000,External,7,2021,Nov,2,Friday,1,Urban,Policyholder,>30,No,No,Jan,1,Tuesday,>30,5097.074524,1
101,All Perils,Male,31,Married,1,>4,400,0,Utility,Chevrolet,7,>69000,External,2,2021,Nov,3,Tuesday,1,Urban,Policyholder,>30,No,No,Jan,2,Wednesday,>30,50754.80403,1
119,All Perils,Male,68,Single,3,2 to 4,400,0,Sedan,Mazda,5,20000 to 29000,External,9,2021,Nov,5,Monday,1,Urban,Policyholder,>30,No,No,Dec,1,Wednesday,>30,1063.262958,1
120,All Perils,Male,20,Single,3,0,400,0,Sedan,Honda,0,>69000,External,7,2021,Dec,1,Friday,1,Rural,Policyholder,>30,No,No,Dec,3,Friday,>30,69029.5914,1
148,All Perils,Male,39,Married,3,0,400,<0.5,Sedan,Toyota,>7,30000 to 39000,External,1,2021,Dec,1,Monday,2,Rural,Policyholder,>30,No,No,May,3,Tuesday,>30,9595.953938,1
161,All Perils,Male,33,Married,3,0,400,0,Sedan,Chevrolet,6,>69000,External,12,2021,Dec,2,Friday,1,Urban,Policyholder,>30,No,No,Jan,2,Friday,>30,51335.82906,1
190,All Perils,Male,43,Married,2,2 to 4,400,4 to 8,Sedan,Mazda,>7,30000 to 39000,External,10,2021,Dec,2,Monday,2,Urban,Policyholder,>30,No,No,Jan,1,Monday,>30,50130.99946,1
195,Collision,Male,39,Married,3,0,400,0,Sport,Honda,>7,>69000,External,13,2021,Dec,3,Thursday,1,Urban,Policyholder,>30,No,No,Jan,1,Monday,>30,63282.71437,1
205,All Perils,Male,41,Married,3,2 to 4,500,2 to 3,Sedan,Hyundai,7,<20000,External,16,2021,Dec,3,Friday,1,Urban,Third Party,0,No,No,Jan,3,Tuesday,>30,2488.549524,1
207,Collision,Male,27,Married,4,2 to 4,400,0,Sedan,Hyundai,4,>69000,External,11,2021,Dec,3,Saturday,1,Urban,Policyholder,>30,No,No,Jan,2,Monday,>30,55309.92074,1
233,Collision,Male,26,Married,2,2 to 4,400,0,Sedan,Chevrolet,7,20000 to 29000,External,12,2021,Dec,4,Thursday,1,Urban,Policyholder,>30,No,No,Jan,1,Monday,>30,9465.807653,1
236,All Perils,Male,26,Married,4,0,400,0,Sedan,Chevrolet,6,20000 to 29000,External,16,2021,Dec,4,Thursday,1,Urban,Policyholder,>30,No,No,Jan,2,Tuesday,>30,2034.566034,1
309,All Perils,Male,46,Married,1,0,400,<0.5,Sedan,Hyundai,>7,<20000,External,7,2021,Dec,5,Friday,1,Rural,Policyholder,>30,No,No,Jan,2,Tuesday,>30,9060.441612,1
310,All Perils,Male,20,Single,3,1,400,0,Sedan,Honda,0,>69000,External,6,2021,Dec,5,Friday,1,Urban,Policyholder,>30,No,No,Jan,1,Tuesday,>30,77167.22325,1
316,All Perils,Male,20,Single,1,1,400,4 to 8,Utility,Honda,0,>69000,External,14,2021,Dec,5,Friday,2,Urban,Policyholder,>30,No,No,Jan,2,Monday,>30,65677.76153,1
318,Collision,Male,20,Single,4,1,400,0,Sedan,Honda,0,>69000,External,16,2021,Jan,1,Saturday,1,Urban,Policyholder,>30,No,No,Jan,1,Wednesday,>30,58916.53927,1
367,All Perils,Male,50,Married,2,0,400,<0.5,Sedan,Hyundai,7,20000 to 29000,External,8,2021,Jan,1,Monday,1,Urban,Policyholder,>30,No,No,Jan,1,Wednesday,>30,9715.184265,1
381,Collision,Male,61,Married,2,2 to 4,400,0,Sedan,Ford,>7,40000 to 59000,External,6,2021,Jan,1,Monday,1,Urban,Policyholder,>30,No,No,Jan,2,Monday,>30,74073.45732,1
406,All Perils,Male,54,Married,4,>4,400,0,Sedan,Acura,>7,>69000,External,7,2021,Jan,1,Wednesday,1,Urban,Policyholder,>30,No,No,Jan,3,Monday,>30,56622.07467,1
509,All Perils,Male,36,Single,4,0,400,0,Sedan,Toyota,6,<20000,External,1,2021,Jan,2,Sunday,1,Rural,Policyholder,>30,No,No,Jan,3,Thursday,>30,1932.728985,1
523,Liability,Male,37,Married,2,2 to 4,400,0,Sport,Chevrolet,>7,20000 to 29000,External,13,2021,Jan,2,Monday,1,Urban,Policyholder,>30,No,No,Jan,4,Tuesday,>30,7618.07243,1
529,Collision,Male,39,Married,4,1,400,0,Sedan,Mazda,7,40000 to 59000,External,15,2021,Jan,2,Monday,1,Rural,Policyholder,>30,No,No,Jan,2,Tuesday,>30,16607.22218,1
537,Collision,Male,33,Married,1,0,400,0,Sedan,Chevrolet,7,20000 to 29000,External,13,2021,Jan,2,Monday,1,Urban,Policyholder,>30,No,No,Jan,3,Wednesday,>30,9003.519007,1
539,All Perils,Male,37,Married,2,0,400,0,Sedan,Honda,7,20000 to 29000,External,5,2021,Jan,2,Monday,1,Urban,Policyholder,>30,No,No,Jan,2,Wednesday,>30,2419.626312,1
543,All Perils,Male,19,Single,4,0,400,0,Sedan,Honda,0,>69000,External,12,2021,Jan,2,Tuesday,1,Urban,Policyholder,>30,No,No,Jan,4,Friday,>30,56032.06318,1
557,All Perils,Male,29,Married,3,0,400,0,Sedan,Hyundai,6,20000 to 29000,External,5,2021,Jan,2,Wednesday,1,Urban,Policyholder,>30,No,No,Jan,4,Monday,>30,6905.826925,1
607,All Perils,Male,22,Single,1,2 to 4,400,0,Sedan,Hyundai,5,<20000,External,4,2021,Jan,3,Saturday,1,Urban,Policyholder,>30,No,No,Jan,3,Monday,>30,2309.912884,1
618,Collision,Male,28,Single,3,2 to 4,400,0,Sedan,Toyota,5,<20000,External,8,2021,Jan,3,Saturday,1,Urban,Policyholder,>30,No,No,Jan,5,Monday,>30,4126.084027,1
701,All Perils,Male,33,Single,1,1,400,0,Sedan,Mazda,6,20000 to 29000,External,8,2021,Jan,3,Wednesday,1,Rural,Policyholder,>30,No,No,Feb,1,Tuesday,>30,3438.286739,1
758,All Perils,Male,33,Single,2,2 to 4,400,0,Sedan,Dodge,6,30000 to 39000,External,16,2021,Jan,4,Friday,1,Urban,Policyholder,>30,No,No,Feb,1,Tuesday,>30,52273.79195,1
768,Collision,Male,53,Married,4,0,400,0,Sedan,Toyota,>7,20000 to 29000,External,4,2021,Jan,4,Saturday,1,Urban,Policyholder,>30,No,No,Jan,4,Wednesday,>30,1725.435719,1
790,All Perils,Male,39,Married,2,0,400,0,Sedan,Hyundai,6,20000 to 29000,External,11,2021,Jan,4,Sunday,1,Urban,Policyholder,>30,No,No,Jan,4,Wednesday,>30,3513.37674,1
797,Collision,Male,32,Married,4,1,400,0,Sedan,Mazda,7,20000 to 29000,External,6,2021,Jan,4,Sunday,1,Urban,Policyholder,>30,No,No,Jan,4,Wednesday,>30,8086.770205,1
